movie_code,movie_name_ko,movie_name_en,movie_name_og,prdt_year,genres,directors,watch_grade_nm,actor1,actor2,actor3
20184105,말모이,MAL·MO·E: The Secret Mission,,2018,드라마,엄유나,12세이상관람가,유해진,윤계상,김홍파
20176251,내안의 그놈,The Dude in Me,,2018,판타지/코미디,강효진,15세이상관람가,박성웅,진영,라미란
20189463,주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet,,2018,애니메이션/어드벤처/코미디/가족,리치 무어,전체관람가,존 C. 라일리,사라 실버맨,맨디 무어
