movie_code,movie_name_ko,movie_name_en,movie_name_og,prdt_year,showtime,genres,directors,watch_grade_nm,actor1,actor2,actor3
20184105,말모이,MAL·MO·E: The Secret Mission,,20190109,135,드라마,엄유나,12세이상관람가,유해진,윤계상,김홍파
20176251,내안의 그놈,Inside me,,20190109,122,판타지/코미디,강효진,15세이상관람가,박성웅,진영,라미란
20189463,주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet,,20190103,112,애니메이션/어드벤처/코미디/가족,리치 무어,전체관람가,존 C. 라일리,사라 실버맨,맨디 무어
20180290,아쿠아맨,AQUAMAN,,20181219,143,액션,제임스 완,12세이상관람가,제이슨 모모아,앰버 허드,니콜 키드먼
20183915,극장판 공룡메카드: 타이니소어의 섬,,,20190110,70,애니메이션,최신규,전체관람가
20185485,보헤미안 랩소디,Bohemian Rhapsody,,20181031,134,드라마,브라이언 싱어,12세이상관람가,레미 맬렉,조셉 마젤로,마이크 마이어스
20184574,그린 북,Green Book,,20190109,130,드라마,피터 패럴리,12세이상관람가,비고 모텐슨,마허샬라 알리
20186281,범블비,Bumblebee,,20181225,113,액션/어드벤처/SF,트래비스 나이트,12세이상관람가,헤일리 스테인펠드,파멜라 애들론,존 시나
20170658,PMC: 더 벙커,Take Point,,20181226,124,액션,김병우,15세이상관람가,하정우,이선균,제니퍼 엘
20175547,스윙키즈,Swing Kids,,20181219,133,드라마,강형철,12세이상관람가,도경수,박혜수,자레드 그라임스
20183785,점박이 한반도의 공룡2 : 새로운 낙원,,,20181225,93,애니메이션,한상호,전체관람가,박희순,라미란,김성균
20184187,언니,No Mercy,,20190101,93,액션,임경택,청소년관람불가,이시영,박세완,이준혁
20182421,그린치,The Grinch,,20181219,89,애니메이션/코미디,스콧 모시어,전체관람가,베네딕트 컴버배치
20168773,마약왕,The Drug King,,20181219,139,범죄/드라마,우민호,청소년관람불가,송강호,조정석,배두나
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,,20181219,103,애니메이션,타카하시 와타루,전체관람가,박영남,강희선,김환진
20183238,스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,,20181212,116,애니메이션/액션/가족,밥 퍼시케티,12세이상관람가,샤메익 무어,헤일리 스테인펠드,니콜라스 케이지
20177552,국가부도의 날,Default,,20181128,114,드라마,최국희,12세이상관람가,김혜수,유아인,허준호
20179230,도어락,Door Lock,,20181205,101,스릴러/드라마,이권,15세이상관람가,공효진,김예원,김성오
20183375,극장판 포켓몬스터 모두의 이야기,Pokemon the Movie: The Power of Us,劇場版ポケットモンスター みんなの物語,20181219,98,애니메이션,야지마 테츠오,전체관람가
20189843,호두까기 인형과 4개의 왕국,The Nutcracker and the Four Realms,,20181206,99,판타지/드라마,라세 할스트롬,전체관람가,키이라 나이틀리,매켄지 포이,헬렌 미렌
20182082,부탁 하나만 들어줘,A Simple Favor,,20181212,116,스릴러/미스터리,폴 페이그,청소년관람불가,블레이크 라이블리,안나 켄드릭,헨리 골딩
20178825,모털 엔진,Mortal Engines,,20181205,128,액션/어드벤처/SF,크리스찬 리버스,12세이상관람가,헤라 힐마,로버트 시한,휴고 위빙
20183745,런닝맨 : 풀룰루의 역습,Running Man,,20181205,66,애니메이션,윤준상,전체관람가,김서영,권창욱,엄상현
20177538,완벽한 타인,Intimate Strangers,,20181031,115,드라마/코미디,이재규,15세이상관람가,유해진,조진웅,이서진
20184481,성난황소,Unstoppable,,20181122,115,범죄/액션,김민호,15세이상관람가,마동석,송지효,김성오
20181905,후드,Robin Hood,,20181128,116,어드벤처,오토 바서스트,12세이상관람가,태런 에저튼,제이미 폭스,벤 멘델슨
20176814,신비한 동물들과 그린델왈드의 범죄,Fantastic Beasts: The Crimes of Grindelwald,FANTASTIC BEASTS THE CRIMES OF GRINDELWALD,20181114,133,판타지,데이빗 예이츠,12세이상관람가,에디 레드메인,캐서린 워터스턴,앨리슨 수돌
20183073,베일리 어게인,A Dog's Purpose,,20181122,100,어드벤처/드라마/코미디,라세 할스트롬,전체관람가,조시 게드,데니스 퀘이드,브릿 로버트슨
20181171,바울,Paul. Apostle Of Christ,,20181031,107,드라마,앤드류 하얏트,15세이상관람가,제임스 폴크너,제임스 카비젤
20183007,거미줄에 걸린 소녀,THE GIRL IN THE SPIDER’S WEB,,20181128,115,액션/스릴러/범죄,페드 알바레즈,15세이상관람가,클레어 포이,실비아 획스,스베리르 구드나손
20182966,투 프렌즈,TWO TAILS,,20181129,74,애니메이션/어드벤처,빅터 아즈에프,전체관람가
20183050,번 더 스테이지: 더 무비,Burn the Stage: the Movie,,20181115,82,기타,박준수,전체관람가,김남준,김석진,민윤기
20182935,출국,Unfinished,,20181114,104,드라마,노규엽,15세이상관람가,이범수,연우진,박혁권
20182669,툴리,TULLY,,20181122,95,드라마,제이슨 라이트맨,15세이상관람가,샤를리즈 테론,맥켄지 데이비스,마크 듀플라스
20186822,너의 췌장을 먹고 싶어,I want to eat your pancreas,君の膵臓をたべたい,20181115,109,애니메이션/드라마,우시지마 신이치로,12세이상관람가,타카스기 마히로,린,후지이 유키요
20170513,동네사람들,,,20181107,99,액션/스릴러,임진순,15세이상관람가,마동석,김새론,이상엽
20189869,해피 투게더,Happy Together,,20181115,110,드라마/코미디,김정환,12세이상관람가,박성웅,송새벽,최로운
20174981,창궐,Rampant,,20181025,121,사극/액션,김성훈,15세이상관람가,현빈,장동건,조우진
